time,wave_height,swell_wave_height,wind_wave_height
2023-12-01T00:00,1.88,1.48,0.14
2023-12-01T01:00,1.86,1.46,0.16
2023-12-01T02:00,1.84,1.46,0.2
2023-12-01T03:00,1.82,1.44,0.22
2023-12-01T04:00,1.82,1.46,0.26
2023-12-01T05:00,1.84,1.48,0.28
2023-12-01T06:00,1.84,1.5,0.32
2023-12-01T07:00,1.88,1.54,0.34
2023-12-01T08:00,1.92,1.58,0.36
2023-12-01T09:00,1.96,1.62,0.38
2023-12-01T10:00,1.92,1.62,0.38
2023-12-01T11:00,1.88,1.64,0.4
2023-12-01T12:00,1.84,1.64,0.4
2023-12-01T13:00,1.82,1.62,0.38
2023-12-01T14:00,1.82,1.6,0.36
2023-12-01T15:00,1.8,1.58,0.34
2023-12-01T16:00,1.78,1.58,0.32
2023-12-01T17:00,1.76,1.56,0.28
2023-12-01T18:00,1.74,1.56,0.26
2023-12-01T19:00,1.74,1.62,0.24
2023-12-01T20:00,1.76,1.68,0.22
2023-12-01T21:00,1.76,1.74,0.2
2023-12-01T22:00,1.74,1.72,0.18
2023-12-01T23:00,1.72,1.72,0.16
2023-12-02T00:00,1.7,1.7,0.14
2023-12-02T01:00,1.7,1.68,0.16
2023-12-02T02:00,1.68,1.68,0.18
2023-12-02T03:00,1.68,1.66,0.2
2023-12-02T04:00,1.66,1.64,0.22
2023-12-02T05:00,1.66,1.6,0.26
2023-12-02T06:00,1.64,1.58,0.28
2023-12-02T07:00,1.66,1.6,0.26
2023-12-02T08:00,1.66,1.64,0.24
2023-12-02T09:00,1.68,1.66,0.22
2023-12-02T10:00,1.66,1.62,0.2
2023-12-02T11:00,1.62,1.6,0.16
2023-12-02T12:00,1.6,1.56,0.14
2023-12-02T13:00,1.56,1.52,0.1
2023-12-02T14:00,1.5,1.46,0.04
2023-12-02T15:00,1.46,1.42,0.0
2023-12-02T16:00,1.44,1.4,0.0
2023-12-02T17:00,1.42,1.36,0.0
2023-12-02T18:00,1.4,1.34,0.0
2023-12-02T19:00,1.4,1.34,0.0
2023-12-02T20:00,1.42,1.36,0.0
2023-12-02T21:00,1.42,1.36,0.0
2023-12-02T22:00,1.44,1.38,0.02
2023-12-02T23:00,1.48,1.38,0.04
2023-12-03T00:00,1.5,1.4,0.06
2023-12-03T01:00,1.5,1.4,0.12
2023-12-03T02:00,1.52,1.38,0.18
