time,shortwave_radiation,cloud_cover,hour
2023-04-01T00:00,0.0,100,0
2023-04-01T01:00,0.0,100,1
2023-04-01T02:00,0.0,100,2
2023-04-01T03:00,0.0,100,3
2023-04-01T04:00,0.0,100,4
2023-04-01T05:00,0.0,100,5
2023-04-01T06:00,0.0,100,6
2023-04-01T07:00,0.0,100,7
2023-04-01T08:00,2.0,100,8
2023-04-01T09:00,20.0,100,9
2023-04-01T10:00,60.0,100,10
2023-04-01T11:00,143.0,100,11
2023-04-01T12:00,149.0,100,12
2023-04-01T13:00,171.0,100,13
2023-04-01T14:00,670.0,84,14
2023-04-01T15:00,665.0,55,15
2023-04-01T16:00,611.0,53,16
2023-04-01T17:00,422.0,14,17
2023-04-01T18:00,438.0,35,18
2023-04-01T19:00,262.0,64,19
2023-04-01T20:00,82.0,75,20
2023-04-01T21:00,1.0,100,21
2023-04-01T22:00,0.0,100,22
2023-04-01T23:00,0.0,100,23
2023-04-02T00:00,0.0,100,0
2023-04-02T01:00,0.0,1,1
2023-04-02T02:00,0.0,1,2
2023-04-02T03:00,0.0,14,3
2023-04-02T04:00,0.0,3,4
2023-04-02T05:00,0.0,85,5
2023-04-02T06:00,0.0,14,6
2023-04-02T07:00,0.0,1,7
2023-04-02T08:00,6.0,0,8
2023-04-02T09:00,118.0,1,9
2023-04-02T10:00,311.0,43,10
2023-04-02T11:00,505.0,85,11
2023-04-02T12:00,639.0,55,12
2023-04-02T13:00,753.0,1,13
2023-04-02T14:00,827.0,4,14
2023-04-02T15:00,775.0,8,15
2023-04-02T16:00,733.0,46,16
2023-04-02T17:00,501.0,91,17
2023-04-02T18:00,314.0,25,18
2023-04-02T19:00,231.0,10,19
2023-04-02T20:00,86.0,6,20
2023-04-02T21:00,2.0,1,21
2023-04-02T22:00,0.0,7,22
2023-04-02T23:00,0.0,2,23
2023-04-03T00:00,0.0,10,0
2023-04-03T01:00,0.0,1,1
2023-04-03T02:00,0.0,0,2
2023-04-03T03:00,0.0,22,3
2023-04-03T04:00,0.0,0,4
2023-04-03T05:00,0.0,1,5
2023-04-03T06:00,0.0,1,6
2023-04-03T07:00,0.0,0,7
2023-04-03T08:00,7.0,0,8
2023-04-03T09:00,119.0,0,9
2023-04-03T10:00,306.0,0,10
2023-04-03T11:00,495.0,0,11
2023-04-03T12:00,655.0,0,12
2023-04-03T13:00,743.0,27,13
2023-04-03T14:00,731.0,37,14
2023-04-03T15:00,813.0,28,15
2023-04-03T16:00,667.0,69,16
2023-04-03T17:00,484.0,58,17
2023-04-03T18:00,387.0,27,18
2023-04-03T19:00,217.0,3,19
2023-04-03T20:00,89.0,2,20
2023-04-03T21:00,2.0,0,21
2023-04-03T22:00,0.0,10,22
2023-04-03T23:00,0.0,26,23
2023-04-04T00:00,0.0,9,0
2023-04-04T01:00,0.0,4,1
2023-04-04T02:00,0.0,26,2
2023-04-04T03:00,0.0,2,3
2023-04-04T04:00,0.0,1,4
2023-04-04T05:00,0.0,3,5
2023-04-04T06:00,0.0,5,6
2023-04-04T07:00,0.0,2,7
2023-04-04T08:00,8.0,1,8
2023-04-04T09:00,125.0,1,9
2023-04-04T10:00,317.0,3,10
2023-04-04T11:00,501.0,15,11
2023-04-04T12:00,559.0,3,12
2023-04-04T13:00,712.0,15,13
2023-04-04T14:00,779.0,10,14
2023-04-04T15:00,788.0,19,15
2023-04-04T16:00,736.0,80,16
2023-04-04T17:00,428.0,80,17
2023-04-04T18:00,296.0,10,18
2023-04-04T19:00,266.0,46,19
2023-04-04T20:00,86.0,4,20
2023-04-04T21:00,2.0,26,21
2023-04-04T22:00,0.0,100,22
2023-04-04T23:00,0.0,32,23
2023-04-05T00:00,0.0,7,0
2023-04-05T01:00,0.0,0,1
2023-04-05T02:00,0.0,0,2
2023-04-05T03:00,0.0,0,3
2023-04-05T04:00,0.0,0,4
2023-04-05T05:00,0.0,0,5
2023-04-05T06:00,0.0,0,6
2023-04-05T07:00,0.0,0,7
2023-04-05T08:00,9.0,0,8
2023-04-05T09:00,128.0,0,9
2023-04-05T10:00,319.0,0,10
2023-04-05T11:00,500.0,0,11
2023-04-05T12:00,675.0,0,12
2023-04-05T13:00,795.0,0,13
2023-04-05T14:00,848.0,6,14
2023-04-05T15:00,840.0,0,15
2023-04-05T16:00,767.0,0,16
2023-04-05T17:00,629.0,0,17
2023-04-05T18:00,476.0,8,18
2023-04-05T19:00,284.0,0,19
2023-04-05T20:00,98.0,43,20
2023-04-05T21:00,3.0,97,21
2023-04-05T22:00,0.0,97,22
2023-04-05T23:00,0.0,82,23
2023-04-06T00:00,0.0,86,0
2023-04-06T01:00,0.0,95,1
2023-04-06T02:00,0.0,11,2
2023-04-06T03:00,0.0,100,3
2023-04-06T04:00,0.0,83,4
2023-04-06T05:00,0.0,45,5
2023-04-06T06:00,0.0,49,6
2023-04-06T07:00,0.0,100,7
2023-04-06T08:00,10.0,93,8
2023-04-06T09:00,108.0,79,9
2023-04-06T10:00,298.0,63,10
2023-04-06T11:00,475.0,76,11
2023-04-06T12:00,599.0,72,12
2023-04-06T13:00,648.0,52,13
2023-04-06T14:00,730.0,100,14
2023-04-06T15:00,565.0,70,15
2023-04-06T16:00,575.0,20,16
2023-04-06T17:00,544.0,7,17
2023-04-06T18:00,439.0,6,18
2023-04-06T19:00,275.0,5,19
2023-04-06T20:00,95.0,55,20
2023-04-06T21:00,3.0,5,21
2023-04-06T22:00,0.0,0,22
2023-04-06T23:00,0.0,0,23
2023-04-07T00:00,0.0,0,0
2023-04-07T01:00,0.0,0,1
2023-04-07T02:00,0.0,0,2
2023-04-07T03:00,0.0,0,3
2023-04-07T04:00,0.0,0,4
2023-04-07T05:00,0.0,0,5
2023-04-07T06:00,0.0,0,6
2023-04-07T07:00,0.0,14,7
2023-04-07T08:00,12.0,44,8
2023-04-07T09:00,136.0,9,9
2023-04-07T10:00,329.0,14,10
2023-04-07T11:00,517.0,6,11
2023-04-07T12:00,673.0,0,12
2023-04-07T13:00,783.0,0,13
2023-04-07T14:00,835.0,65,14
2023-04-07T15:00,821.0,42,15
2023-04-07T16:00,760.0,31,16
2023-04-07T17:00,588.0,48,17
2023-04-07T18:00,448.0,21,18
2023-04-07T19:00,278.0,24,19
2023-04-07T20:00,98.0,7,20
2023-04-07T21:00,4.0,21,21
2023-04-07T22:00,0.0,18,22
2023-04-07T23:00,0.0,13,23
2023-04-08T00:00,0.0,61,0
2023-04-08T01:00,0.0,47,1
2023-04-08T02:00,0.0,2,2
2023-04-08T03:00,0.0,56,3
2023-04-08T04:00,0.0,63,4
2023-04-08T05:00,0.0,50,5
2023-04-08T06:00,0.0,24,6
2023-04-08T07:00,0.0,77,7
2023-04-08T08:00,13.0,41,8
2023-04-08T09:00,138.0,1,9
2023-04-08T10:00,334.0,0,10
2023-04-08T11:00,525.0,0,11
2023-04-08T12:00,681.0,0,12
2023-04-08T13:00,790.0,18,13
2023-04-08T14:00,843.0,21,14
2023-04-08T15:00,831.0,68,15
2023-04-08T16:00,758.0,86,16
2023-04-08T17:00,622.0,36,17
2023-04-08T18:00,473.0,22,18
2023-04-08T19:00,284.0,17,19
2023-04-08T20:00,101.0,9,20
2023-04-08T21:00,4.0,1,21
2023-04-08T22:00,0.0,0,22
2023-04-08T23:00,0.0,0,23
2023-04-09T00:00,0.0,0,0
2023-04-09T01:00,0.0,0,1
2023-04-09T02:00,0.0,0,2
