year,hot_days_30,hot_days_35,frost_days
1960,49,3,35
1961,68,0,21
1962,74,7,62
1963,35,0,45
1964,63,3,55
1965,59,4,56
1966,55,7,48
1967,53,4,55
1968,43,5,47
1969,42,3,51
1970,58,3,56
1971,22,0,59
1972,26,0,46
1973,51,7,69
1974,39,5,54
1975,46,8,53
1976,37,4,58
1977,28,0,24
1978,62,7,37
1979,53,6,41
1980,64,8,53
1981,60,9,54
1982,48,4,25
1983,51,4,48
1984,48,5,57
1985,71,17,53
1986,62,9,53
1987,64,12,37
1988,50,11,50
1989,61,11,35
1990,63,14,44
1991,65,22,47
1992,51,11,47
1993,50,10,56
1994,70,21,40
1995,57,11,24
1996,49,5,29
1997,42,2,15
1998,68,16,41
1999,67,15,56
2000,71,8,32
2001,71,15,39
2002,56,8,18
2003,74,23,34
2004,61,9,39
2005,78,13,82
2006,79,17,52
2007,36,8,36
2008,54,6,38
2009,86,12,37
2010,77,16,47
2011,71,7,36
2012,83,17,63
2013,69,13,56
2014,50,7,21
2015,77,33,37
2016,88,21,17
2017,86,39,35
2018,82,11,22
2019,74,27,32
2020,81,31,16
2021,74,20,24
2022,88,47,26
2023,82,39,40
