year,annual_mean_temp,model
1950,11.567671232876712,CMCC_CM2_VHR4
1951,10.51972602739726,CMCC_CM2_VHR4
1952,10.762841530054644,CMCC_CM2_VHR4
1953,10.613972602739725,CMCC_CM2_VHR4
1954,10.65945205479452,CMCC_CM2_VHR4
1955,11.692328767123287,CMCC_CM2_VHR4
1956,10.35191256830601,CMCC_CM2_VHR4
1957,12.11890410958904,CMCC_CM2_VHR4
1958,11.785753424657536,CMCC_CM2_VHR4
1959,11.432328767123288,CMCC_CM2_VHR4
1960,10.390710382513662,CMCC_CM2_VHR4
1961,11.136438356164383,CMCC_CM2_VHR4
1962,10.691780821917808,CMCC_CM2_VHR4
1963,11.353972602739725,CMCC_CM2_VHR4
1964,10.887158469945355,CMCC_CM2_VHR4
1965,10.435890410958903,CMCC_CM2_VHR4
1966,11.033150684931506,CMCC_CM2_VHR4
1967,10.525479452054794,CMCC_CM2_VHR4
1968,11.06120218579235,CMCC_CM2_VHR4
1969,10.783561643835617,CMCC_CM2_VHR4
1970,11.323835616438355,CMCC_CM2_VHR4
1971,10.653698630136986,CMCC_CM2_VHR4
1972,10.073770491803279,CMCC_CM2_VHR4
1973,11.123835616438356,CMCC_CM2_VHR4
1974,9.89123287671233,CMCC_CM2_VHR4
1975,9.84958904109589,CMCC_CM2_VHR4
1976,10.407377049180328,CMCC_CM2_VHR4
1977,10.901643835616438,CMCC_CM2_VHR4
1978,11.12931506849315,CMCC_CM2_VHR4
1979,9.863287671232877,CMCC_CM2_VHR4
1980,9.876502732240438,CMCC_CM2_VHR4
1981,11.468767123287673,CMCC_CM2_VHR4
1982,10.578356164383562,CMCC_CM2_VHR4
1983,10.826027397260274,CMCC_CM2_VHR4
1984,10.28688524590164,CMCC_CM2_VHR4
1985,11.401369863013699,CMCC_CM2_VHR4
1986,10.683561643835617,CMCC_CM2_VHR4
1987,10.22109589041096,CMCC_CM2_VHR4
1988,10.25327868852459,CMCC_CM2_VHR4
1989,10.856164383561644,CMCC_CM2_VHR4
1990,12.059999999999999,CMCC_CM2_VHR4
1991,10.979999999999999,CMCC_CM2_VHR4
1992,10.080601092896174,CMCC_CM2_VHR4
1993,10.567397260273973,CMCC_CM2_VHR4
1994,11.858082191780822,CMCC_CM2_VHR4
1995,10.837260273972602,CMCC_CM2_VHR4
1996,9.899453551912568,CMCC_CM2_VHR4
1997,11.981917808219178,CMCC_CM2_VHR4
1998,11.981369863013699,CMCC_CM2_VHR4
1999,12.146849315068494,CMCC_CM2_VHR4
2000,12.3551912568306,CMCC_CM2_VHR4
2001,12.265205479452055,CMCC_CM2_VHR4
2002,12.315342465753426,CMCC_CM2_VHR4
2003,12.303013698630139,CMCC_CM2_VHR4
2004,11.707377049180327,CMCC_CM2_VHR4
2005,12.414794520547945,CMCC_CM2_VHR4
2006,11.858082191780822,CMCC_CM2_VHR4
2007,12.094794520547946,CMCC_CM2_VHR4
2008,11.710655737704919,CMCC_CM2_VHR4
2009,12.132054794520547,CMCC_CM2_VHR4
2010,12.26054794520548,CMCC_CM2_VHR4
2011,12.406849315068493,CMCC_CM2_VHR4
2012,11.061475409836065,CMCC_CM2_VHR4
2013,11.74986301369863,CMCC_CM2_VHR4
2014,12.355616438356165,CMCC_CM2_VHR4
2015,11.664931506849314,CMCC_CM2_VHR4
2016,11.212841530054645,CMCC_CM2_VHR4
2017,11.4,CMCC_CM2_VHR4
2018,12.01041095890411,CMCC_CM2_VHR4
2019,11.414520547945205,CMCC_CM2_VHR4
2020,13.311202185792348,CMCC_CM2_VHR4
2021,11.317260273972604,CMCC_CM2_VHR4
2022,12.165753424657535,CMCC_CM2_VHR4
2023,13.07917808219178,CMCC_CM2_VHR4
2024,12.83688524590164,CMCC_CM2_VHR4
2025,12.141369863013699,CMCC_CM2_VHR4
2026,12.116164383561642,CMCC_CM2_VHR4
2027,11.997534246575343,CMCC_CM2_VHR4
2028,12.588251366120218,CMCC_CM2_VHR4
2029,12.293424657534247,CMCC_CM2_VHR4
2030,13.462739726027396,CMCC_CM2_VHR4
2031,12.890958904109588,CMCC_CM2_VHR4
2032,12.104371584699454,CMCC_CM2_VHR4
2033,12.478904109589042,CMCC_CM2_VHR4
2034,13.753698630136988,CMCC_CM2_VHR4
2035,13.757260273972602,CMCC_CM2_VHR4
2036,12.990983606557377,CMCC_CM2_VHR4
2037,12.621917808219179,CMCC_CM2_VHR4
2038,13.087397260273972,CMCC_CM2_VHR4
2039,12.846301369863014,CMCC_CM2_VHR4
2040,12.96639344262295,CMCC_CM2_VHR4
2041,12.904657534246574,CMCC_CM2_VHR4
2042,13.506301369863014,CMCC_CM2_VHR4
2043,13.564383561643835,CMCC_CM2_VHR4
2044,13.402459016393443,CMCC_CM2_VHR4
2045,13.048493150684932,CMCC_CM2_VHR4
2046,12.894520547945206,CMCC_CM2_VHR4
2047,13.828219178082191,CMCC_CM2_VHR4
2048,14.6775956284153,CMCC_CM2_VHR4
2049,13.241095890410959,CMCC_CM2_VHR4
2050,12.884109589041095,CMCC_CM2_VHR4
1950,11.307123287671233,FGOALS_f3_H
1951,11.823561643835617,FGOALS_f3_H
1952,10.374590163934426,FGOALS_f3_H
1953,11.601917808219177,FGOALS_f3_H
1954,12.140273972602738,FGOALS_f3_H
1955,11.423561643835617,FGOALS_f3_H
1956,11.360109289617487,FGOALS_f3_H
1957,11.810958904109588,FGOALS_f3_H
1958,11.614246575342465,FGOALS_f3_H
1959,11.607945205479451,FGOALS_f3_H
1960,11.102185792349728,FGOALS_f3_H
1961,11.425479452054795,FGOALS_f3_H
1962,10.858356164383562,FGOALS_f3_H
1963,10.871780821917808,FGOALS_f3_H
1964,9.405191256830602,FGOALS_f3_H
1965,11.482191780821918,FGOALS_f3_H
1966,10.851232876712329,FGOALS_f3_H
1967,12.434520547945207,FGOALS_f3_H
1968,11.089890710382514,FGOALS_f3_H
1969,10.481369863013699,FGOALS_f3_H
