date,temperature_2m_mean
2020-01-01,1.9
2020-01-02,-2.3
2020-01-03,-6.7
2020-01-04,0.9
2020-01-05,2.6
2020-01-06,1.3
2020-01-07,0.1
2020-01-08,-1.5
2020-01-09,-2.3
2020-01-10,1.4
2020-01-11,-1.0
2020-01-12,-3.1
2020-01-13,-1.5
2020-01-14,0.3
2020-01-15,0.3
2020-01-16,1.8
2020-01-17,-0.0
2020-01-18,-0.4
2020-01-19,5.5
2020-01-20,1.2
2020-01-21,2.4
2020-01-22,4.6
2020-01-23,-0.7
2020-01-24,-0.1
2020-01-25,1.4
2020-01-26,0.5
2020-01-27,-0.7
2020-01-28,-0.4
2020-01-29,-3.4
2020-01-30,-1.7
2020-01-31,-1.4
2020-02-01,-4.2
2020-02-02,-2.6
2020-02-03,-0.9
2020-02-04,2.6
2020-02-05,7.0
2020-02-06,5.8
2020-02-07,5.4
2020-02-08,1.9
2020-02-09,-2.0
2020-02-10,-0.2
2020-02-11,-1.8
2020-02-12,-4.8
2020-02-13,-4.6
2020-02-14,1.7
2020-02-15,0.4
2020-02-16,1.2
2020-02-17,0.5
2020-02-18,-1.9
2020-02-19,-1.5
2020-02-20,0.3
2020-02-21,-0.9
2020-02-22,-1.4
2020-02-23,-0.3
2020-02-24,0.1
2020-02-25,-2.8
2020-02-26,-4.0
2020-02-27,-3.6
2020-02-28,-0.5
2020-02-29,-1.0
2020-03-01,1.6
2020-03-02,1.4
2020-03-03,-1.1
2020-03-04,-2.1
2020-03-05,-2.2
2020-03-06,-3.3
2020-03-07,-1.9
2020-03-08,-2.7
2020-03-09,-3.0
2020-03-10,0.5
2020-03-11,-0.1
2020-03-12,-2.5
2020-03-13,-2.6
2020-03-14,-3.2
2020-03-15,-1.5
2020-03-16,2.1
2020-03-17,-0.3
2020-03-18,-1.3
2020-03-19,-1.7
2020-03-20,2.9
2020-03-21,-0.2
2020-03-22,1.7
2020-03-23,2.5
2020-03-24,1.3
2020-03-25,1.0
2020-03-26,0.7
2020-03-27,-0.5
2020-03-28,1.5
2020-03-29,5.3
2020-03-30,5.2
2020-03-31,5.0
2020-04-01,-0.7
2020-04-02,-2.6
2020-04-03,-4.0
2020-04-04,-4.7
2020-04-05,-3.6
2020-04-06,3.4
2020-04-07,1.0
2020-04-08,-0.3
2020-04-09,1.8
2020-04-10,1.9
2020-04-11,5.0
2020-04-12,3.8
2020-04-13,5.6
2020-04-14,4.0
2020-04-15,3.0
2020-04-16,4.2
2020-04-17,7.2
2020-04-18,5.2
2020-04-19,6.3
2020-04-20,8.1
2020-04-21,7.4
2020-04-22,5.6
2020-04-23,5.9
2020-04-24,5.3
2020-04-25,5.7
2020-04-26,5.8
2020-04-27,6.5
2020-04-28,5.1
2020-04-29,4.8
2020-04-30,5.3
2020-05-01,3.8
2020-05-02,2.0
2020-05-03,2.4
2020-05-04,6.9
2020-05-05,7.0
2020-05-06,5.8
2020-05-07,5.6
2020-05-08,4.0
2020-05-09,2.8
2020-05-10,4.5
2020-05-11,6.0
2020-05-12,4.6
2020-05-13,5.6
2020-05-14,6.2
2020-05-15,6.5
2020-05-16,5.3
2020-05-17,5.5
2020-05-18,6.3
2020-05-19,6.8
2020-05-20,6.5
2020-05-21,8.7
2020-05-22,10.3
2020-05-23,9.6
2020-05-24,6.9
2020-05-25,6.4
2020-05-26,5.7
2020-05-27,6.4
2020-05-28,8.9
2020-05-29,9.7
2020-05-30,8.1
2020-05-31,7.4
2020-06-01,7.9
2020-06-02,8.3
2020-06-03,7.8
2020-06-04,8.4
2020-06-05,5.5
2020-06-06,6.5
2020-06-07,8.6
2020-06-08,8.6
2020-06-09,7.4
2020-06-10,9.3
2020-06-11,9.8
2020-06-12,8.7
2020-06-13,7.7
2020-06-14,9.0
2020-06-15,8.8
2020-06-16,8.0
2020-06-17,9.4
2020-06-18,9.1
2020-06-19,10.6
2020-06-20,11.3
2020-06-21,14.9
2020-06-22,10.3
2020-06-23,9.3
2020-06-24,10.1
2020-06-25,9.2
2020-06-26,10.1
2020-06-27,11.4
2020-06-28,11.1
2020-06-29,14.4
2020-06-30,10.9
2020-07-01,10.3
2020-07-02,11.9
2020-07-03,10.8
2020-07-04,9.4
2020-07-05,11.3
2020-07-06,11.2
2020-07-07,10.4
2020-07-08,9.0
2020-07-09,10.0
2020-07-10,10.2
2020-07-11,10.9
2020-07-12,10.7
2020-07-13,10.9
2020-07-14,11.1
2020-07-15,10.8
2020-07-16,10.3
2020-07-17,7.5
2020-07-18,8.4
2020-07-19,9.2
2020-07-20,8.5
2020-07-21,9.7
2020-07-22,10.0
2020-07-23,10.8
2020-07-24,9.3
2020-07-25,8.9
2020-07-26,9.7
2020-07-27,9.0
2020-07-28,9.6
2020-07-29,11.1
2020-07-30,10.7
2020-07-31,11.1
2020-08-01,11.2
2020-08-02,9.8
2020-08-03,9.4
2020-08-04,9.4
2020-08-05,9.9
2020-08-06,10.3
2020-08-07,9.6
2020-08-08,9.3
2020-08-09,11.2
2020-08-10,11.9
2020-08-11,11.4
2020-08-12,10.1
2020-08-13,10.6
2020-08-14,10.4
2020-08-15,12.2
2020-08-16,13.2
2020-08-17,13.3
2020-08-18,13.3
2020-08-19,10.4
2020-08-20,10.8
2020-08-21,11.1
2020-08-22,9.2
2020-08-23,10.3
2020-08-24,9.5
2020-08-25,9.2
2020-08-26,8.2
2020-08-27,9.1
2020-08-28,9.3
2020-08-29,10.3
2020-08-30,11.4
2020-08-31,11.4
2020-09-01,10.4
2020-09-02,9.7
2020-09-03,7.6
2020-09-04,7.1
2020-09-05,7.6
2020-09-06,10.6
2020-09-07,8.3
2020-09-08,7.1
2020-09-09,6.4
2020-09-10,8.9
2020-09-11,9.0
2020-09-12,8.0
2020-09-13,7.1
2020-09-14,7.7
2020-09-15,6.9
2020-09-16,8.3
2020-09-17,8.8
2020-09-18,8.8
2020-09-19,8.4
2020-09-20,6.7
2020-09-21,4.5
2020-09-22,4.1
2020-09-23,2.4
2020-09-24,2.6
2020-09-25,3.2
2020-09-26,8.3
2020-09-27,6.6
2020-09-28,5.9
2020-09-29,4.7
2020-09-30,3.2
2020-10-01,4.4
2020-10-02,4.6
2020-10-03,4.2
2020-10-04,5.1
2020-10-05,4.0
2020-10-06,4.7
2020-10-07,4.9
2020-10-08,5.2
2020-10-09,5.4
2020-10-10,5.8
2020-10-11,7.7
2020-10-12,6.4
2020-10-13,6.3
2020-10-14,8.4
2020-10-15,8.2
2020-10-16,6.5
2020-10-17,6.3
2020-10-18,5.7
2020-10-19,3.3
2020-10-20,1.3
2020-10-21,3.2
2020-10-22,3.9
2020-10-23,5.1
2020-10-24,4.6
2020-10-25,4.7
2020-10-26,3.6
2020-10-27,3.7
2020-10-28,4.7
2020-10-29,6.0
2020-10-30,4.3
2020-10-31,4.7
2020-11-01,2.8
2020-11-02,2.9
2020-11-03,4.3
2020-11-04,7.3
2020-11-05,6.8
2020-11-06,3.1
2020-11-07,4.1
2020-11-08,3.4
2020-11-09,6.1
2020-11-10,3.5
2020-11-11,1.5
2020-11-12,3.2
2020-11-13,1.7
2020-11-14,0.8
2020-11-15,2.1
2020-11-16,1.1
2020-11-17,-1.9
2020-11-18,-4.9
2020-11-19,-2.8
2020-11-20,2.1
2020-11-21,1.5
2020-11-22,-0.1
2020-11-23,-2.0
2020-11-24,-0.1
2020-11-25,-0.3
2020-11-26,2.6
2020-11-27,1.4
2020-11-28,1.3
2020-11-29,1.9
2020-11-30,0.3
2020-12-01,4.6
2020-12-02,-2.2
2020-12-03,-5.1
2020-12-04,-5.5
2020-12-05,-5.3
2020-12-06,-1.2
2020-12-07,2.6
2020-12-08,1.6
2020-12-09,0.8
2020-12-10,3.9
2020-12-11,5.6
2020-12-12,6.2
2020-12-13,5.5
2020-12-14,4.2
2020-12-15,4.2
2020-12-16,3.5
2020-12-17,1.1
2020-12-18,2.3
2020-12-19,0.2
2020-12-20,0.5
2020-12-21,0.3
2020-12-22,-2.5
2020-12-23,0.2
2020-12-24,5.2
2020-12-25,2.4
2020-12-26,-2.9
2020-12-27,1.8
2020-12-28,-1.4
2020-12-29,-0.5
2020-12-30,-3.0
2020-12-31,-0.8
2021-01-01,-0.2
